,city,year,month,ridership,Mode
240,Chicago,2025,5,527667.8709677419,bus
241,Chicago,2025,6,503232.56666666665,bus
242,Chicago,2025,7,497015.06451612903,bus
243,Chicago,2025,8,524644.8064516129,bus
244,Chicago,2025,9,557363.2666666667,bus
245,Chicago,2025,10,552483.5161290322,bus
246,Chicago,2025,11,475467.06666666665,bus
247,Chicago,2019,1,518349.8387096774,rail_boardings
248,Chicago,2019,2,584176.4642857143,rail_boardings
249,Chicago,2019,3,581263.5161290322,rail_boardings
250,Chicago,2019,4,612854.9666666667,rail_boardings
251,Chicago,2019,5,619579.6774193548,rail_boardings
252,Chicago,2019,6,626124.7666666667,rail_boardings
253,Chicago,2019,7,616254.7741935484,rail_boardings
254,Chicago,2019,8,626095.4193548387,rail_boardings
255,Chicago,2019,9,639273.9333333333,rail_boardings
256,Chicago,2019,10,663959.5483870967,rail_boardings
257,Chicago,2019,11,581612.1333333333,rail_boardings
258,Chicago,2019,12,513665.8064516129,rail_boardings
259,Chicago,2020,1,554230.7419354839,rail_boardings
260,Chicago,2020,2,562026.5172413794,rail_boardings
261,Chicago,2020,3,315950.4516129032,rail_boardings
262,Chicago,2020,4,75553.66666666667,rail_boardings
263,Chicago,2020,5,72099.29032258065,rail_boardings
264,Chicago,2020,6,98504.5,rail_boardings
265,Chicago,2020,7,137260.03225806452,rail_boardings
266,Chicago,2020,8,137437.35483870967,rail_boardings
267,Chicago,2020,9,151890.63333333333,rail_boardings
268,Chicago,2020,10,153237.0,rail_boardings
269,Chicago,2020,11,127163.46666666666,rail_boardings
270,Chicago,2020,12,118744.29032258065,rail_boardings
271,Chicago,2021,1,117060.03225806452,rail_boardings
272,Chicago,2021,2,130435.03571428571,rail_boardings
273,Chicago,2021,3,152501.48387096773,rail_boardings
274,Chicago,2021,4,166803.2,rail_boardings
275,Chicago,2021,5,184667.90322580645,rail_boardings
276,Chicago,2021,6,225286.33333333334,rail_boardings
277,Chicago,2021,7,257660.1935483871,rail_boardings
278,Chicago,2021,8,260038.5483870968,rail_boardings
279,Chicago,2021,9,299608.36666666664,rail_boardings
280,Chicago,2021,10,291266.9032258064,rail_boardings
281,Chicago,2021,11,267356.2,rail_boardings
282,Chicago,2021,12,227103.12903225806,rail_boardings
283,Chicago,2022,1,184842.93548387097,rail_boardings
284,Chicago,2022,2,234981.10714285713,rail_boardings
285,Chicago,2022,3,272244.22580645164,rail_boardings
286,Chicago,2022,4,277309.06666666665,rail_boardings
287,Chicago,2022,5,287868.6129032258,rail_boardings
288,Chicago,2022,6,313611.3,rail_boardings
289,Chicago,2022,7,301633.03225806454,rail_boardings
290,Chicago,2022,8,311273.8387096774,rail_boardings
291,Chicago,2022,9,340008.6666666667,rail_boardings
292,Chicago,2022,10,331476.12903225806,rail_boardings
293,Chicago,2022,11,295974.1666666667,rail_boardings
294,Chicago,2022,12,250606.09677419355,rail_boardings
295,Chicago,2023,1,263533.4193548387,rail_boardings
296,Chicago,2023,2,277203.9285714286,rail_boardings
297,Chicago,2023,3,302765.3548387097,rail_boardings
298,Chicago,2023,4,306099.5,rail_boardings
299,Chicago,2023,5,327648.12903225806,rail_boardings
300,Chicago,2023,6,346814.8333333333,rail_boardings
301,Chicago,2023,7,323235.96774193546,rail_boardings
302,Chicago,2023,8,358437.7419354839,rail_boardings
303,Chicago,2023,9,368564.43333333335,rail_boardings
304,Chicago,2023,10,371285.29032258067,rail_boardings
305,Chicago,2023,11,330680.8,rail_boardings
306,Chicago,2023,12,282792.2580645161,rail_boardings
307,Chicago,2024,1,275880.0967741936,rail_boardings
308,Chicago,2024,2,320690.3103448276,rail_boardings
309,Chicago,2024,3,326046.4193548387,rail_boardings
310,Chicago,2024,4,348611.3,rail_boardings
311,Chicago,2024,5,365498.0967741936,rail_boardings
312,Chicago,2024,6,364289.0333333333,rail_boardings
313,Chicago,2024,7,363863.1612903226,rail_boardings
314,Chicago,2024,8,378861.06451612903,rail_boardings
315,Chicago,2024,9,388865.9,rail_boardings
316,Chicago,2024,10,407447.5806451613,rail_boardings
317,Chicago,2024,11,343753.1666666667,rail_boardings
318,Chicago,2024,12,295236.0967741936,rail_boardings
319,Chicago,2025,1,295232.1612903226,rail_boardings
320,Chicago,2025,2,313621.71428571426,rail_boardings
321,Chicago,2025,3,344146.77419354836,rail_boardings
322,Chicago,2025,4,374914.5,rail_boardings
323,Chicago,2025,5,379848.87096774194,rail_boardings
324,Chicago,2025,6,394294.6,rail_boardings
325,Chicago,2025,7,400119.87096774194,rail_boardings
326,Chicago,2025,8,418389.5806451613,rail_boardings
327,Chicago,2025,9,424427.1,rail_boardings
328,Chicago,2025,10,429807.93548387097,rail_boardings
329,Chicago,2025,11,353888.9,rail_boardings
