id,date,daytype,member,rides,route,rowID,type
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065439,2013-07-21T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,823,R55,row-1065439,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065440,2013-07-22T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,724,R55,row-1065440,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065441,2013-07-23T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,655,R55,row-1065441,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065442,2013-07-24T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,649,R55,row-1065442,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065443,2013-07-25T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,826,R55,row-1065443,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065444,2013-07-26T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,924,R55,row-1065444,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065445,2013-07-27T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,671,R55,row-1065445,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065446,2013-07-28T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,766,R55,row-1065446,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065447,2013-07-29T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,687,R55,row-1065447,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065448,2013-07-30T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,614,R55,row-1065448,https://data.cityofchicago.org/resource/jyb9-n7fm
