,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
329,2019,10,201,175.0,Philadelphia
330,2019,10,204,216.0,Philadelphia
331,2019,10,206,170.0,Philadelphia
332,2019,10,310,474.0,Philadelphia
333,2019,10,311,228.0,Philadelphia
334,2019,10,47M,1103.0,Philadelphia
335,2019,10,BLVDDIR,3417.0,Philadelphia
336,2019,10,B1 OWL,1808.0,Philadelphia
337,2019,10,63,17112.0,Philadelphia
338,2019,10,71,4973.0,Philadelphia
339,2019,10,41,2949.0,Philadelphia
340,2019,10,K,9239.0,Philadelphia
341,2019,10,51,7836.0,Philadelphia
342,2019,10,LUCYGO,1635.0,Philadelphia
343,2019,10,LUCYGR,1179.0,Philadelphia
344,2019,10,L1 OWL,1999.0,Philadelphia
345,2019,10,82,10439.0,Philadelphia
346,2019,10,81,5953.0,Philadelphia
347,2019,11,1,2910.0,Philadelphia
348,2019,11,2,5018.0,Philadelphia
349,2019,11,3,8766.0,Philadelphia
350,2019,11,4,6712.0,Philadelphia
351,2019,11,5,3669.0,Philadelphia
352,2019,11,6,5999.0,Philadelphia
353,2019,11,7,5014.0,Philadelphia
354,2019,11,8,2633.0,Philadelphia
355,2019,11,9,4509.0,Philadelphia
356,2019,11,T1,10422.0,Philadelphia
357,2019,11,T4,12460.0,Philadelphia
358,2019,11,12,2425.0,Philadelphia
359,2019,11,T3,12658.0,Philadelphia
360,2019,11,14,6188.0,Philadelphia
361,2019,11,G1,10194.0,Philadelphia
362,2019,11,16,7063.0,Philadelphia
363,2019,11,17,9405.0,Philadelphia
364,2019,11,18,14490.0,Philadelphia
365,2019,11,19,1365.0,Philadelphia
366,2019,11,20,4762.0,Philadelphia
367,2019,11,21,10129.0,Philadelphia
368,2019,11,22,4528.0,Philadelphia
369,2019,11,23,15678.0,Philadelphia
370,2019,11,24,2242.0,Philadelphia
371,2019,11,25,4346.0,Philadelphia
372,2019,11,26,11748.0,Philadelphia
373,2019,11,27,4437.0,Philadelphia
374,2019,11,28,1894.0,Philadelphia
375,2019,11,29,4611.0,Philadelphia
376,2019,11,30,1267.0,Philadelphia
377,2019,11,31,4883.0,Philadelphia
378,2019,11,32,4908.0,Philadelphia
379,2019,11,33,11572.0,Philadelphia
380,2019,11,T2,12237.0,Philadelphia
381,2019,11,35,150.0,Philadelphia
382,2019,11,T5,13727.0,Philadelphia
383,2019,11,37,3419.0,Philadelphia
384,2019,11,38,2822.0,Philadelphia
385,2019,11,39,2541.0,Philadelphia
386,2019,11,40,7372.0,Philadelphia
387,2019,11,42,9246.0,Philadelphia
388,2019,11,43,3704.0,Philadelphia
389,2019,11,44,3482.0,Philadelphia
